Latitude	Longitude	Name	Dome Camera	Button Camera	Police Box	Notes	Region	URL
42.3137282	-71.0836043	Warren 2	2		1		Roxbury	https://www.google.com/maps/@42.3137282,-71.0836043,3a,15.1y,280.46h,98.98t/data=!3m6!1e1!3m4!1sO3pxRpJ8WW2u1e7j8acZ0g!2e0!7i16384!8i8192
42.3122373	-71.0829911	Warren and Intervale	2		1		Roxbury	https://www.google.com/maps/@42.3122373,-71.0829911,3a,35.1y,274.81h,108.47t/data=!3m6!1e1!3m4!1s4IQjdBSO34DWhv8FGWEanw!2e0!7i16384!8i8192
42.3346309	-71.0895182	Tremont and Ruggles 1	2	2	1	two cameras	Roxbury	https://www.google.com/maps/@42.3346309,-71.0895182,3a,38.2y,27.87h,107.68t/data=!3m6!1e1!3m4!1slZojykQTnGBO_KzzmLJKKQ!2e0!7i16384!8i8192
42.3334706	-71.091453	Tremont 1		1	1		Roxbury	https://www.google.com/maps/@42.3334706,-71.091453,3a,15y,353.4h,97.89t/data=!3m6!1e1!3m4!1sux6_mKcxEyBgBEGLVUeMrQ!2e0!7i16384!8i8192
42.3330876	-71.0921731	Tremont 2			1	very occluded behind tree and pole	Roxbury	https://www.google.com/maps/@42.3330876,-71.0921731,3a,29.9y,6.04h,97.94t/data=!3m6!1e1!3m4!1sOGrU-2Aj4a4t74kkWDWVjQ!2e0!7i16384!8i8192
42.3315393	-71.0945458	Tremont and Malcolm X	2		1	gray box	Roxbury	https://www.google.com/maps/@42.3315393,-71.0945458,3a,35.9y,256.54h,114.35t/data=!3m6!1e1!3m4!1sXDlmaOyzpimK_7eh4iXtgQ!2e0!7i16384!8i8192
42.3226567	-71.0986504	Columbus and Centre	1	1	1	gray box	Roxbury	https://www.google.com/maps/@42.3226567,-71.0986504,3a,15.1y,176.34h,101.49t/data=!3m6!1e1!3m4!1skPkuZcC2bucRAulBvKNIQQ!2e0!7i16384!8i8192
42.3077358	-71.0891505	Seaver and Elm Hill			1		Roxbury	https://www.google.com/maps/@42.3077358,-71.0891505,3a,75y,68.22h,92.44t/data=!3m6!1e1!3m4!1swR2txf7HL5RSOP76ZoWDxQ!2e0!7i16384!8i8192
42.3052803	-71.0848452	Seaver and Blue Hill	1	1	1	gray box	Roxbury	https://www.google.com/maps/@42.3052803,-71.0848452,3a,33.1y,183.95h,99.83t/data=!3m6!1e1!3m4!1sNczq1rwNoh0zmx-39skv4w!2e0!7i16384!8i8192
42.3033259	-71.0852683	Blue Hill and Columbia	3		1	gray box. 3 cameras	Roxbury	https://www.google.com/maps/@42.3033259,-71.0852683,3a,31.4y,243.98h,100.97t/data=!3m6!1e1!3m4!1sQQFzELPIPw4K1ZomhnmYaA!2e0!7i16384!8i8192
42.2983339	-71.0869885	Blue Hill and American Legion	1	1	1		Roxbury	https://www.google.com/maps/@42.2983339,-71.0869885,3a,38.8y,127.28h,100.82t/data=!3m6!1e1!3m4!1sEnEs7-nGgnLmtJ6kSMgvCQ!2e0!7i16384!8i8192
